                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61249,                0.69581,                   1.13,                0.92688,                0.85815,                0.93479,                0.77108,                0.84983,                0.57151,                 1.2526,               0.008317,               0.008317,               0.008317
                     37,                0.61239,                0.69108,                 1.1311,                0.87589,                0.89909,                0.94107,                0.75787,                0.89457,                0.54793,                 1.3142,              0.0082675,              0.0082675,              0.0082675
                     38,                0.60986,                0.68156,                 1.1294,                0.90682,                0.84807,                0.93792,                0.76174,                0.88335,                0.58208,                 1.3017,               0.008218,               0.008218,               0.008218
                     39,                0.60295,                0.66911,                 1.1242,                0.89881,                0.86953,                 0.9419,                0.76717,                  0.888,                0.56924,                 1.2977,              0.0081685,              0.0081685,              0.0081685
                     40,                 0.6085,                0.66823,                 1.1262,                0.90277,                0.88631,                0.95108,                  0.773,                0.89802,                0.51251,                 1.3113,               0.008119,               0.008119,               0.008119
                     41,                0.60138,                0.65477,                 1.1197,                0.88991,                0.89005,                0.94367,                0.75645,                0.90331,                0.56707,                 1.3157,              0.0080695,              0.0080695,              0.0080695
                     42,                0.59698,                0.65184,                 1.1203,                0.89744,                0.87786,                0.94226,                0.76629,                0.86904,                0.55912,                 1.2806,                0.00802,                0.00802,                0.00802
                     43,                0.59507,                0.64193,                 1.1193,                0.89901,                0.87349,                0.93837,                0.75601,                0.88619,                0.55985,                 1.2832,              0.0079705,              0.0079705,              0.0079705
                     44,                 0.5898,                0.63858,                 1.1138,                0.90453,                0.85262,                 0.9353,                0.76295,                0.88791,                0.62001,                 1.3084,               0.007921,               0.007921,               0.007921
                     45,                0.58871,                0.62888,                 1.1138,                0.89185,                0.87817,                0.94932,                0.76672,                 0.9026,                0.55828,                 1.3208,              0.0078715,              0.0078715,              0.0078715
                     46,                0.58961,                0.63137,                 1.1128,                0.90915,                0.87596,                0.94991,                0.76761,                0.91152,                0.55564,                 1.3333,               0.007822,               0.007822,               0.007822
                     47,                0.58017,                0.61135,                 1.1047,                0.85386,                0.89174,                0.93482,                0.76993,                0.88233,                0.55877,                 1.3058,              0.0077725,              0.0077725,              0.0077725
                     48,                0.58189,                0.60882,                 1.1092,                0.93016,                0.84624,                0.94477,                0.77347,                0.86265,                0.57082,                 1.2775,               0.007723,               0.007723,               0.007723
                     49,                0.57968,                0.60544,                  1.105,                0.91418,                0.86814,                0.94473,                0.76483,                0.88673,                0.52741,                 1.2994,              0.0076735,              0.0076735,              0.0076735
                     50,                0.57777,                0.60339,                 1.1031,                 0.9132,                0.85504,                0.93934,                0.76343,                0.88577,                0.54144,                 1.3017,               0.007624,               0.007624,               0.007624
                     51,                0.57722,                0.60445,                 1.1034,                0.92163,                0.87475,                0.94241,                0.76111,                 0.8995,                0.54208,                  1.331,              0.0075745,              0.0075745,              0.0075745
                     52,                0.57229,                0.58269,                 1.1004,                0.91752,                0.86438,                 0.9373,                0.76017,                0.87741,                0.53967,                 1.3114,               0.007525,               0.007525,               0.007525
                     53,                0.57404,                0.58525,                 1.1014,                  0.906,                0.87052,                 0.9354,                0.76696,                0.88711,                0.55482,                 1.3155,              0.0074755,              0.0074755,              0.0074755
                     54,                0.56645,                0.57805,                 1.0936,                0.90999,                0.87455,                0.93449,                0.75973,                0.89397,                0.55817,                 1.3185,               0.007426,               0.007426,               0.007426
                     55,                0.57109,                0.57811,                 1.0965,                0.91246,                0.87048,                0.93383,                0.76408,                0.86872,                0.54916,                 1.2984,              0.0073765,              0.0073765,              0.0073765
                     56,                0.56535,                0.57379,                 1.0936,                0.91114,                0.86135,                0.93792,                0.76726,                0.88387,                  0.586,                 1.3158,               0.007327,               0.007327,               0.007327
                     57,                0.56133,                0.56199,                 1.0918,                 0.9177,                0.87205,                 0.9415,                0.77094,                0.88113,                0.55858,                 1.3214,              0.0072775,              0.0072775,              0.0072775
                     58,                0.56115,                0.55477,                 1.0891,                0.90932,                0.87895,                0.93875,                0.76626,                0.88533,                0.55148,                 1.3189,               0.007228,               0.007228,               0.007228
                     59,                0.55964,                0.56272,                 1.0915,                 0.9165,                 0.8705,                0.93642,                0.75549,                 0.9112,                0.56333,                 1.3483,              0.0071785,              0.0071785,              0.0071785
                     60,                0.55591,                0.54973,                 1.0905,                0.89197,                0.87052,                0.94214,                0.76843,                0.90099,                0.55452,                  1.335,               0.007129,               0.007129,               0.007129
                     61,                0.55165,                 0.5435,                 1.0844,                0.91712,                0.84996,                0.94298,                0.76854,                0.89038,                0.54712,                 1.3234,              0.0070795,              0.0070795,              0.0070795
                     62,                0.55123,                0.54256,                 1.0842,                0.91827,                0.86977,                 0.9453,                0.76565,                0.89643,                 0.5532,                 1.3276,                0.00703,                0.00703,                0.00703
                     63,                0.54557,                0.53468,                 1.0769,                  0.903,                0.86801,                0.94523,                0.76218,                0.89815,                0.54507,                 1.3261,              0.0069805,              0.0069805,              0.0069805
                     64,                0.54474,                0.53029,                 1.0821,                0.90661,                0.87945,                0.94339,                0.76105,                0.90708,                0.55995,                 1.3398,               0.006931,               0.006931,               0.006931
                     65,                0.54584,                 0.5313,                 1.0813,                0.92079,                0.86985,                0.94246,                0.76174,                0.91522,                0.55931,                 1.3445,              0.0068815,              0.0068815,              0.0068815
